ts,open,high,low,close,vol
1748410139,108951.8,108951.8,108951.7,108951.8,0.1390957599999999
1748410150,108951.8,108951.8,108946.0,108946.0,0.1466780599999999
1748410161,108946.1,108946.1,108946.0,108946.1,0.1791497999999999
1748410171,108946.1,108946.1,108946.0,108946.1,0.12484719
1748410181,108946.1,108946.1,108940.0,108940.1,0.11261026
1748410191,108940.0,108940.1,108940.0,108940.1,0.0232421599999999
1748410201,108940.0,108940.1,108940.0,108940.1,0.0112083699999999
1748410212,108940.0,108940.1,108940.0,108940.1,0.0525572
1748410222,108940.1,108940.1,108940.0,108940.1,0.0172978799999999
1748410234,108940.0,108940.1,108940.0,108940.1,0.0093544199999999
1748410244,108940.1,108948.5,108940.0,108948.4,0.27905887
1748410255,108948.5,108983.6,108948.4,108983.6,1.1961642499999998
1748410265,108983.6,109002.0,108969.5,108969.6,1.66493083
1748410276,108969.6,108988.0,108969.6,108988.0,0.0240599
1748410287,108988.0,108988.0,108988.0,108988.0,0.01585774
1748410299,108988.0,109009.9,108988.0,109009.9,0.5115554
1748410309,109010.0,109010.0,109010.0,109010.0,0.0001194799999999
1748410320,109010.0,109010.0,109010.0,109010.0,0.03096925
1748410330,109009.9,109020.0,109009.9,109020.0,0.12010824
1748410340,109020.0,109020.0,109019.9,109019.9,0.06284257
1748410352,109018.2,109018.2,108988.2,108988.3,0.7699071
1748410365,108988.3,108988.5,108988.2,108988.5,0.76094352
1748410376,108988.5,108996.5,108988.5,108996.5,0.0790171
1748410386,108996.4,109010.0,108996.4,109010.0,0.6077175300000001
1748410396,109010.0,109010.0,109009.9,109009.9,0.28851162
1748410406,109009.9,109010.0,109009.9,109010.0,0.06743238
1748410418,109009.9,109010.0,109009.9,109010.0,0.0168654
1748410889,108887.9,108916.3,108887.9,108916.3,0.7377927999999998
1748410899,108916.3,108916.3,108901.4,108901.4,0.39476888
1748410909,108901.5,108901.5,108901.4,108901.5,0.0097992199999999
1748410919,108901.5,108907.8,108901.5,108907.7,0.0740905
1748410930,108907.8,108913.4,108907.8,108913.4,0.07869909
1748410940,108913.3,108913.4,108913.3,108913.3,0.05721528
1748410951,108913.4,108913.4,108913.3,108913.3,0.11227539
1748410978,108869.7,108886.0,108869.6,108886.0,375.22
1748410989,108886.0,108887.0,108885.9,108887.0,206.13
1748410999,108886.9,108887.0,108872.1,108872.1,175.37999999999997
1748411009,108872.1,108872.2,108872.1,108872.1,69.71000000000001
1748411019,108872.2,108872.2,108872.1,108872.1,15.649999999999997
1748411029,108872.1,108872.2,108872.1,108872.1,58.34
1748411039,108872.1,108872.2,108872.1,108872.1,189.59
1748411049,108872.1,108872.2,108872.1,108872.2,107.09
1748411059,108872.2,108872.2,108872.1,108872.1,73.79000000000002
1748411069,108872.1,108872.2,108872.1,108872.1,28.750000000000007
1748411079,108872.1,108872.2,108866.0,108866.0,579.2199999999999
1748411089,108866.1,108889.9,108866.1,108889.8,430.0400000000001
1748411099,108889.9,108889.9,108889.8,108889.9,29.13
1748411109,108889.8,108889.9,108886.9,108887.0,232.39
1748411120,108887.0,108887.0,108886.9,108886.9,125.52
1748411130,108886.9,108887.0,108886.9,108886.9,35.300000000000004
1748411140,108886.9,108887.0,108886.9,108886.9,102.16
1748411150,108886.9,108886.9,108878.7,108878.8,69.98
1748411160,108878.8,108914.0,108878.7,108913.9,605.63
1748411170,108913.9,108914.0,108913.9,108913.9,172.26
1748411180,108913.9,108914.0,108913.9,108914.0,40.63000000000001
1748411190,108914.0,108914.0,108913.9,108914.0,30.95
1748411200,108914.0,108914.0,108913.9,108914.0,150.45000000000002
1748411210,108914.0,108914.0,108913.9,108914.0,119.63
